Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics),Settings ID
10,0,17,3,14,26.38002701631253,66.47766808110757,49.948698386519155,0.7513605670640873,26.02712581023366,20.142949931180926,19.762999903709375,False,300.689865,5,930,2613
11,0,20,3,17,26.33190936762657,66.35641160641896,49.94869838651915,0.7527335667694149,26.65576530854525,19.88992024691443,20.016029587975915,False,366.783664,7,1030,2613
12,0,19,3,16,26.768154786834476,67.45575006282289,49.948698386519155,0.7404661328352429,26.073686452640587,20.269085347461445,19.636864487428856,False,556.836318,13,1330,2613
13,0,22,3,19,26.51533809158374,66.81865199079103,49.94869838651921,0.7475262804374317,25.744680551443835,20.474756779112177,19.431193055778127,False,421.975881,9,1130,2613
14,0,16,3,13,26.251006415101653,66.15253616605617,49.94869838651918,0.7550534156564748,26.444594287553333,19.968527607496206,19.937422227394116,False,267.495725,4,880,2613
15,0,21,3,18,25.894347712220668,65.25375623479609,49.948698386519126,0.7654532285742096,25.898726619354917,20.107021578037045,19.798928256853273,False,293.239692,4,880,2613
16,0,15,3,12,26.015453595186855,65.55894305987087,49.94869838651913,0.7618899276778169,26.223058736424132,19.97946192072703,19.926487914163307,False,331.689952,6,980,2613
17,0,17,3,15,26.907807962054324,67.80767606437689,49.948698386519126,0.7366230681478838,26.152357610153246,20.28715767336052,19.61879216152981,False,344.914598,6,980,2613
18,0,20,3,18,26.633654054905367,67.11680821836153,49.94869838651913,0.7442055084624001,25.893665246225062,19.98524826315606,19.92070157173428,False,331.859105,5,930,2613
19,0,20,4,16,26.327632219986434,66.34563319436582,49.948698386519176,0.7528558547356046,26.26528577771408,19.882634893550755,20.023314941339585,False,442.379291,10,1180,2613
20,0,24,3,22,26.329976984613165,66.35154200122517,49.94869838651918,0.7527888106292524,26.20701970831349,19.967461036790315,19.938488798100007,False,334.334428,6,980,2613
1,0,37,8,33,30.49192730436625,76.83965680700295,49.94869838651917,0.6500380202370579,31.50305472866292,20.127465806389562,19.77848402850076,False,127.781227,5,2210,2614
2,0,30,7,27,31.138205842720023,78.46827872365446,49.948698386519176,0.6365463751591381,30.07217355738202,20.112233009010442,19.79371682587986,False,131.192706,8,2360,2614
3,0,29,4,27,29.40404494068433,74.09819325052452,49.94869838651922,0.674087939197703,28.96432023933528,20.112320659445487,19.793629175444824,False,121.503625,4,2160,2614
4,0,49,9,45,33.8460875820311,85.29214070671838,49.94869838651911,0.5856190027903087,33.916933808613585,19.877631436010986,20.02831839887933,False,77.149662,4,2280,2614
5,0,24,4,21,29.525836289246634,74.40510744890152,49.94869838651914,0.6713073886872878,29.639400460305644,19.806115121287224,20.09983471360308,False,78.230718,4,2160,2614
6,0,24,3,21,29.977007577095293,75.54205909428013,49.94869838651921,0.6612038245367501,29.517163791551887,20.223195318172326,19.682754516717985,False,71.614988,4,2160,2614
7,0,34,4,31,29.18453628274992,73.5450314325298,49.948698386519105,0.6791580262269932,29.12716682294307,19.95860755745362,19.947342277436686,False,98.547421,8,2360,2614
8,0,25,4,22,29.513341340332605,74.37362017763816,49.94869838651918,0.6715915974940966,29.245300918850987,19.812815353019197,20.09313448187114,False,110.276141,3,2110,2614
9,1,53,16,46,33.93622400374268,85.51928448943156,49.86686371004126,0.5831066525843511,33.06807878032968,20.094830627744795,19.746074887447428,False,164.154702,12,2680,2614
10,0,24,3,21,29.24002442585041,73.68486155314304,49.948698386519176,0.6778692031672632,29.13077755386398,19.938711065780243,19.96723876911008,False,122.928804,5,2210,2614
11,0,57,10,54,34.09179495410343,85.91132328434064,49.94869838651919,0.5813983125507685,34.257511649262746,19.862938992568306,20.043010842321998,True,123.70201,4,2280,2614
12,0,34,4,30,31.822811130645096,80.19348404922565,49.94869838651918,0.6228523299456459,30.677851880432616,20.053802998485263,19.85214683640505,False,118.334299,3,2230,2614
13,0,38,12,35,30.233650967095436,76.1888004370805,49.94869838651919,0.6555910855660295,30.26580189793804,19.89083162294323,20.01511821194712,False,120.719692,5,2210,2614
14,1,35,11,30,30.87642387973522,77.80858817693276,49.80685292923551,0.6401202501705502,30.102643907111386,20.097129016930182,19.69843310609465,False,145.883881,10,2460,2614
15,0,37,6,34,31.090053759148002,78.34693547305297,49.94869838651914,0.637532254260267,30.754725325075643,19.882795428935342,20.023154405954987,False,123.376322,5,2210,2614
16,0,75,20,66,35.711461023368,89.99288177888737,49.94869838651915,0.5550294356529571,33.70565133529621,20.012253864845217,19.893695970045115,False,108.560271,4,2280,2614
17,0,32,6,29,31.43629414527438,79.21946124609144,49.94869838651914,0.6305104528716234,30.67621961460724,20.31978436970513,19.586165465185214,False,121.472333,3,2230,2614
18,0,29,3,26,30.406261217925195,76.6237782691715,49.94869838651917,0.6518694263685941,29.907918437847567,20.004400197370483,19.90154963751985,False,144.439565,7,2310,2614
19,2,38,8,34,29.59319247210352,74.57484502970087,49.78466917597513,0.6675799213011764,29.08988953179491,20.084021192821975,19.69213609777979,False,143.351031,7,2310,2614
20,0,13,3,10,28.869177905068963,72.75032832077379,49.94869838651916,0.6865769480281007,27.91926403314921,20.324301194542805,19.581648640347524,False,119.12486,4,2160,2614
1,0,22,3,19,27.682998255104025,69.76115560286215,49.946421052376785,0.7159632122024021,26.922688749040528,20.24816391118489,19.65778592370545,False,85.389043,5,350,2615
2,0,20,3,19,26.54194836105398,66.88570986985603,49.94642105237679,0.7467427818223185,26.973045578408207,20.007866944863757,19.898082890026597,False,56.817322,5,350,2615
3,0,16,3,13,26.895385668122874,67.77637188366964,49.946421052376785,0.7369296948810432,27.287777252313273,19.829227033041548,20.076722801848767,False,57.515792,5,350,2615
4,0,12,3,9,26.76144836483475,67.43884987938357,49.94642105237678,0.7406179248564806,27.110303203839237,19.952327513739075,19.95362232115127,False,57.027709,5,350,2615
5,0,18,3,15,26.98140956201684,67.99315209628243,49.946421052376806,0.7345801674505344,27.526298453185536,19.827422188062073,20.078527646828256,False,89.850208,7,450,2615
6,0,20,3,18,27.083807143159238,68.25119400076127,49.94642105237675,0.7318028905372651,27.174914632524708,20.03364057099378,19.872309263896568,False,75.966924,6,400,2615
