"settings_id","stem_file","iterations_number","pile_width","pile_height","pile_depth","n_sides","n_meshes","lateral_friction","spinning_friction","rolling_friction","restitution","bend_function","random_turn","drop_algorithm","intended.con"
3235,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.85,0.02,0.1,"4th order poly",FALSE,"grid",3217
3236,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.85,0.02,0.1,"4th order poly",FALSE,"rowwise",3218
3237,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.85,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",3219
3238,"My200-4-2-0.csv",20,12,2,3,10,8,0.85,0.85,0.02,0.1,"4th order poly",FALSE,"trapezoid",3220
3239,"My200-4-2-0.csv",20,12,2,3,10,8,0.85,0.85,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",3221
3240,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.85,0.02,0.1,"4th order poly",TRUE,"grid",3222
3241,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.85,0.02,0.1,"4th order poly",TRUE,"rowwise",3223
3242,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.85,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",3224
3243,"My200-4-2-0.csv",20,12,2,3,10,8,0.85,0.85,0.02,0.1,"4th order poly",TRUE,"trapezoid",3225
3244,"My200-4-2-0.csv",20,12,2,3,10,8,0.85,0.85,0.02,0.1,"4th order poly",TRUE,"trapezoid-freeze",3226
3245,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.85,0.02,0.1,"4th order poly",FALSE,"grid",3227
3246,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.85,0.02,0.1,"4th order poly",FALSE,"rowwise",3228
3247,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.85,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",3229
3248,"My200-4-2-0.csv",20,12,2,3,10,15,0.85,0.85,0.02,0.1,"4th order poly",FALSE,"trapezoid",3230
3249,"My200-4-2-0.csv",20,12,2,3,10,15,0.85,0.85,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",3231
3250,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.85,0.02,0.1,"4th order poly",TRUE,"grid",3232
3251,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.85,0.02,0.1,"4th order poly",TRUE,"rowwise",3233
3252,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.85,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",3234
3415,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.45,0.02,0.1,"double sin",FALSE,"grid",3397
3416,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.45,0.02,0.1,"double sin",FALSE,"rowwise",3398
3417,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.45,0.02,0.1,"double sin",FALSE,"rowwise-freeze",3399
3418,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.45,0.02,0.1,"double sin",FALSE,"trapezoid",3400
3419,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.45,0.02,0.1,"double sin",FALSE,"trapezoid-freeze",3401
3420,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.45,0.02,0.1,"double sin",TRUE,"grid",3402
3421,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.45,0.02,0.1,"double sin",TRUE,"rowwise",3403
3422,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.45,0.02,0.1,"double sin",TRUE,"rowwise-freeze",3404
3423,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.45,0.02,0.1,"double sin",TRUE,"trapezoid",3405
3424,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.45,0.02,0.1,"double sin",TRUE,"trapezoid-freeze",3406
3425,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.45,0.02,0.1,"double sin",FALSE,"grid",3407
3426,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.45,0.02,0.1,"double sin",FALSE,"rowwise",3408
3427,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.45,0.02,0.1,"double sin",FALSE,"rowwise-freeze",3409
3428,"My200-4-2-0.csv",20,12,2,3,10,15,0.45,0.45,0.02,0.1,"double sin",FALSE,"trapezoid",3410
3429,"My200-4-2-0.csv",20,12,2,3,10,15,0.45,0.45,0.02,0.1,"double sin",FALSE,"trapezoid-freeze",3411
3430,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.45,0.02,0.1,"double sin",TRUE,"grid",3412
3431,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.45,0.02,0.1,"double sin",TRUE,"rowwise",3413
